	name	debug
0	Col5a1_chr2_2575	ok
1	Col5a1_chr2_2576	ok
2	Gata4_chr14_5714	NaNs in SEs; H=np.array([[-764.4845374370841, -38.27200498270097, -61.68760490255389, -139.09299035155524, -86.57101700738434, -48.0692313169606, -87.66438693955348, -68.2045319970056, 60.16312021110213, 60.91745171730025, 57.522057786896525, 59.79899214984188, 61.36996716647049, 59.28505250047749, 2.433625290992593], [-38.27200498270097, -38.27200498270097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9050730427529707, 2.6669741773205407, 3.3740494975327127, 2.731916829822507, 3.370085320241476, 2.4609702130952416, 0.6694597194243446], [-61.68760490255389, 0.0, -61.68760490255389, 0.0, 0.0, 0.0, 0.0, 0.0, 4.662765486360966, 4.6999480123011566, 4.934654713960843, 5.0604235994101625, 4.604965348944823, 5.099060381858173, 0.07325797652352525], [-139.09299035155524, 0.0, 0.0, -139.09299035155524, 0.0, 0.0, 0.0, 0.0, 10.702270705268957, 10.891121403918818, 10.196942900310772, 10.499476814635548, 11.90214682724595, 10.900437029252858, 0.5313141678652697], [-86.57101700738434, 0.0, 0.0, 0.0, -86.57101700738434, 0.0, 0.0, 0.0, 6.803203594679699, 7.013340826112935, 6.239741217437652, 6.961511113645438, 7.4454257495728315, 6.413728308578027, 0.24894403977470456], [-48.0692313169606, 0.0, 0.0, 0.0, 0.0, -48.0692313169606, 0.0, 0.0, 4.030543486961181, 3.7072874943928875, 3.8508753369508915, 3.5112406622896257, 3.688897469321119, 3.924567775689152, 0.006852163210079158], [-87.66438693955348, 0.0, 0.0, 0.0, 0.0, 0.0, -87.66438693955348, 0.0, 6.8884966621747585, 6.952012623299745, 6.54915711042441, 6.827315891178038, 6.894072289379116, 7.194747857268082, 0.039991717821777], [-68.2045319970056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -68.2045319970056, 5.43455254073977, 5.470073661540119, 5.426120034773095, 5.667381277228179, 4.961047536421109, 5.212993061351914, 0.04269319477771072], [60.163120211101976, 2.9050730427529707, 4.662765486360966, 10.702270705268957, 6.803203594679699, 4.030543486961181, 6.8884966621747585, 5.43455254073977, -33.25624708452637, 0.0, 0.0, 0.0, 0.0, 0.0, 3.803716078043781], [60.91745171730026, 2.6669741773205407, 4.699948012301158, 10.891121403918818, 7.013340826112934, 3.7072874943928875, 6.952012623299745, 5.470073661540119, 0.0, -38.155372185031815, 0.0, 0.0, 0.0, 0.0, 3.8469143004196904], [57.522057786896525, 3.374049497532711, 4.9346547139608425, 10.196942900310772, 6.239741217437652, 3.8508753369508915, 6.54915711042441, 5.426120034773095, 0.0, 0.0, -28.48298116280801, 0.0, 0.0, 0.0, 3.6787592469903143], [59.79899214984188, 2.731916829822507, 5.0604235994101625, 10.499476814635548, 6.961511113645436, 3.5112406622896257, 6.827315891178044, 5.667381277228179, 0.0, 0.0, 0.0, -29.257176541071836, 0.0, 0.0, 3.7678619464398784], [61.36996716647049, 3.370085320241476, 4.604965348944823, 11.902146827245957, 7.445425749572831, 3.688897469321119, 6.894072289379116, 4.961047536421109, 0.0, 0.0, 0.0, 0.0, -31.23608165018295, 0.0, 3.985109903395489], [59.28505250047749, 2.4609702130952416, 5.099060381858173, 10.90043702925286, 6.413728308578027, 3.9245677756891535, 7.194747857268082, 5.212993061351914, 0.0, 0.0, 0.0, 0.0, 0.0, -29.98178292120533, 3.6833504123591054], [2.433625290992836, 0.6694597194243368, 0.07325797652355348, 0.5313141678652613, 0.24894403977471313, 0.006852163210076867, 0.039991717821699524, 0.04269319477770139, 3.803716078045568, 3.8469143004182342, 3.6787592469922856, 3.767861946439666, 3.9851099033961646, 3.6833504123596867, -27.92889529961758]])
3	Sparc_chr11_7230	ok
4	Tubb2b_chr13_2583	ok
5	reference	ok
6	Col1a1_chr11_15275	ok
7	Sox2_chr3_2007	ok
8	Sparc_chr11_7210	NaNs in SEs; H=np.array([[-835.0981269596542, -32.716464017285546, -75.10897047685789, -150.6122500184891, -94.22864506848829, -209.0394529958883, -61.065758941274694, -56.13463675495692, 65.23943114358019, 63.91209972388866, 65.64663297720745, 64.8751537715185, 62.46657408894431, 62.016912416538396, 2.791548428920306], [-32.716464017285546, -32.716464017285546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.246789167896244, 2.377584910371906, 2.5374460328755917, 2.3610829884065216, 3.0751109767576916, 2.1462716852036046, 0.4077668470546444], [-75.10897047685789, 0.0, -75.10897047685789, 0.0, 0.0, 0.0, 0.0, 0.0, 5.221523093789529, 6.132537561488418, 5.904995000884442, 6.068651165094885, 5.381588890761467, 5.996471334061524, 0.1436100130983069], [-150.6122500184891, 0.0, 0.0, -150.6122500184891, 0.0, 0.0, 0.0, 0.0, 11.283326324856706, 11.510942445732738, 12.283476464744274, 11.936942102802329, 11.937196862391037, 10.588263118342141, 0.7528724809825287], [-94.22864506848829, 0.0, 0.0, 0.0, -94.22864506848829, 0.0, 0.0, 0.0, 7.701889813768963, 7.97432653922267, 6.466367902876182, 6.909147379914558, 6.776381815028033, 7.3316480881213195, 0.3962448886711302], [-209.0394529958883, 0.0, 0.0, 0.0, 0.0, -209.0394529958883, 0.0, 0.0, 16.773474610482843, 15.386645406760655, 16.244972820276434, 16.437440612919712, 15.500107824566529, 15.572325772876427, 0.77207302548959], [-61.065758941274694, 0.0, 0.0, 0.0, 0.0, 0.0, -61.065758941274694, 0.0, 4.563184316669783, 4.77424814245067, 5.118277967674962, 4.419327598223314, 4.58373725600005, 4.744913362968708, 0.012552553553566272], [-56.13463675495692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -56.13463675495692, 4.833010068772522, 4.307469110713038, 4.1880556946567955, 4.460847312301001, 3.803697388653214, 4.377515522646004, 0.024464035031144943], [65.2394311435802, 2.246789167896244, 5.221523093789529, 11.283326324856708, 7.701889813768963, 16.773474610482833, 4.563184316669783, 4.8330100687725155, -35.014323585285055, 0.0, 0.0, 0.0, 0.0, 0.0, 3.86245676075468], [63.91209972388866, 2.377584910371907, 6.132537561488417, 11.510942445732738, 7.97432653922267, 15.386645406760632, 4.77424814245067, 4.307469110713038, 0.0, -36.581030373910636, 0.0, 0.0, 0.0, 0.0, 3.807300098182296], [65.64663297720745, 2.5374460328755917, 5.904995000884443, 12.283476464744274, 6.466367902876181, 16.244972820276434, 5.118277967674962, 4.188055694656791, 0.0, 0.0, -32.577391137975916, 0.0, 0.0, 0.0, 3.893050281745654], [64.87515377151853, 2.361082988406523, 6.068651165094886, 11.936942102802329, 6.909147379914558, 16.437440612919712, 4.419327598223314, 4.460847312301, 0.0, 0.0, 0.0, -34.32307342146839, 0.0, 0.0, 3.8637090077809826], [62.46657408894431, 3.0751109767576916, 5.381588890761467, 11.937196862391035, 6.776381815028033, 15.500107824566529, 4.583737256000047, 3.803697388653214, 0.0, 0.0, 0.0, 0.0, -33.14813160645206, 0.0, 3.798412509802615], [62.016912416538396, 2.1462716852036046, 5.996471334061524, 10.588263118342141, 7.3316480881213195, 15.572325772876427, 4.744913362968708, 4.377515522646004, 0.0, 0.0, 0.0, 0.0, 0.0, -28.739224958448727, 3.6573507330090447], [2.7915484289202936, 0.40776684705464916, 0.14361001309830357, 0.7528724809825462, 0.39624488867112717, 0.7720730254895329, 0.012552553553543788, 0.024464035031151354, 3.8624567607531617, 3.8073000981822815, 3.893050281745218, 3.8637090077808125, 3.7984125098024606, 3.657350733009025, -24.701061326759373]])
9	Sparc_chr11_7211	ok
